title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
The Shawshank Redemption,2h 22min,"Crime,Drama",Frank Darabont,"Stephen King,Frank Darabont","Tim Robbins,Morgan Freeman,Bob Gunton",9.3,"1,871,287"
The Godfather,2h 55min,"Crime,Drama",Francis Ford Coppola,"Mario Puzo,Francis Ford Coppola","Marlon Brando,Al Pacino,James Caan",9.2,"1,277,764"
The Godfather: Part II,3h 22min,"Crime,Drama",Francis Ford Coppola,"Francis Ford Coppola,Mario Puzo","Al Pacino,Robert De Niro,Robert Duvall",9.0,"881,108"
The Dark Knight,2h 32min,"Action,Crime,Drama",Christopher Nolan,"Jonathan Nolan,Christopher Nolan","Christian Bale,Heath Ledger,Aaron Eckhart",9.0,"1,848,465"
12 Angry Men,1h 36min,"Crime,Drama",Sidney Lumet,"Reginald Rose,Reginald Rose","Henry Fonda,Lee J. Cobb,Martin Balsam",8.9,"512,253"
Schindler's List,3h 15min,"Biography,Drama,History",Steven Spielberg,"Thomas Keneally,Steven Zaillian","Liam Neeson,Ralph Fiennes,Ben Kingsley",8.9,"961,777"
Pulp Fiction,2h 34min,"Crime,Drama",Quentin Tarantino,"Quentin Tarantino,Roger Avary","John Travolta,Uma Thurman,Samuel L. Jackson",8.9,"1,464,545"
The Lord of the Rings: The Return of the King,3h 21min,"Adventure,Drama,Fantasy",Peter Jackson,"J.R.R. Tolkien,Fran Walsh","Elijah Wood,Viggo Mortensen,Ian McKellen",8.9,"1,338,487"
"Il buono, il brutto, il cattivo",2h 41min,Western,Sergio Leone,"Luciano Vincenzoni,Sergio Leone","Clint Eastwood,Eli Wallach,Lee Van Cleef",8.9,"554,757"
Fight Club,2h 19min,Drama,David Fincher,"Chuck Palahniuk,Jim Uhls","Brad Pitt,Edward Norton,Meat Loaf",8.8,"1,500,277"
The Lord of the Rings: The Fellowship of the Ring,2h 58min,"Adventure,Drama,Fantasy",Peter Jackson,"J.R.R. Tolkien,Fran Walsh","Elijah Wood,Ian McKellen,Orlando Bloom",8.8,"1,358,815"
Forrest Gump,2h 22min,"Drama,Romance",Robert Zemeckis,"Winston Groom,Eric Roth","Tom Hanks,Robin Wright,Gary Sinise",8.8,"1,411,313"
Star Wars: Episode V - The Empire Strikes Back,2h 4min,"Action,Adventure,Fantasy",Irvin Kershner,"Leigh Brackett,Lawrence Kasdan","Mark Hamill,Harrison Ford,Carrie Fisher",8.8,"934,061"
Inception,2h 28min,"Action,Adventure,Sci-Fi",Christopher Nolan,,"Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page",8.8,"1,638,171"
The Lord of the Rings: The Two Towers,2h 59min,"Adventure,Drama,Fantasy",Peter Jackson,"J.R.R. Tolkien,Fran Walsh","Elijah Wood,Ian McKellen,Viggo Mortensen",8.7,"1,211,818"
One Flew Over the Cuckoo's Nest,2h 13min,Drama,Milos Forman,"Lawrence Hauben,Bo Goldman","Jack Nicholson,Louise Fletcher,Michael Berryman",8.7,"747,634"
Goodfellas,2h 26min,"Biography,Crime,Drama",Martin Scorsese,"Nicholas Pileggi,Nicholas Pileggi","Robert De Niro,Ray Liotta,Joe Pesci",8.7,"806,811"
The Matrix,2h 16min,"Action,Sci-Fi",,"Lilly Wachowski,Lana Wachowski","Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss",8.7,"1,346,848"
Shichinin no samurai,3h 27min,"Adventure,Drama",Akira Kurosawa,"Akira Kurosawa,Shinobu Hashimoto","Toshirô Mifune,Takashi Shimura,Keiko Tsushima",8.7,"252,370"
Star Wars: Episode IV - A New Hope,2h 1min,"Action,Adventure,Fantasy",George Lucas,,"Mark Hamill,Harrison Ford,Carrie Fisher",8.7,"1,006,472"
Cidade de Deus,2h 10min,"Crime,Drama",,"Paulo Lins,Bráulio Mantovani","Alexandre Rodrigues,Matheus Nachtergaele,Leandro Firmino",8.7,"583,112"
Se7en,2h 7min,"Crime,Drama,Mystery",David Fincher,,"Morgan Freeman,Brad Pitt,Kevin Spacey",8.6,"1,141,450"
The Silence of the Lambs,1h 58min,"Crime,Drama,Thriller",Jonathan Demme,"Thomas Harris,Ted Tally","Jodie Foster,Anthony Hopkins,Lawrence A. Bonney",8.6,"996,278"
It's a Wonderful Life,2h 10min,"Drama,Family,Fantasy",Frank Capra,"Frances Goodrich,Albert Hackett","James Stewart,Donna Reed,Lionel Barrymore",8.6,"309,032"
La vita è bella,1h 56min,"Comedy,Drama,War",Roberto Benigni,"Vincenzo Cerami,Roberto Benigni","Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini",8.6,"479,320"
The Usual Suspects,1h 46min,"Crime,Drama,Mystery",Bryan Singer,,"Kevin Spacey,Gabriel Byrne,Chazz Palminteri",8.6,"818,690"
Léon,1h 50min,"Crime,Drama,Thriller",Luc Besson,,"Jean Reno,Gary Oldman,Natalie Portman",8.6,"811,469"
Saving Private Ryan,2h 49min,"Drama,War",Steven Spielberg,,"Tom Hanks,Matt Damon,Tom Sizemore",8.6,"984,578"
De reis van Chihiro,2h 5min,"Animation,Adventure,Family",Hayao Miyazaki,,"Daveigh Chase,Suzanne Pleshette,Miyu Irino",8.6,"479,857"
American History X,1h 59min,"Crime,Drama",Tony Kaye,,"Edward Norton,Edward Furlong,Beverly D'Angelo",8.5,"861,947"
Once Upon a Time in the West,2h 44min,Western,Sergio Leone,"Sergio Donati,Sergio Leone","Henry Fonda,Charles Bronson,Claudia Cardinale",8.6,"240,569"
